Number of Dice,average of d4,savage of d4,% increase of d4,average of d6,savage of d6,% increase of d6,average of d8,savage of d8,% increase of d8,average of d10,savage of d10,% increase of d10,average of d12,savage of d12,% increase of d12
1,2.5,3.12,24.8,3.5,4.47,27.7,4.5,5.81,29.1,5.5,7.15,30.0,6.5,8.49,30.6
2,5.0,6.25,25.0,7.0,8.94,27.7,9.0,11.62,29.1,11.0,14.31,30.1,13.0,16.97,30.5
3,7.5,9.37,24.9,10.5,13.42,27.8,13.5,17.44,29.2,16.5,21.45,30.0,19.5,25.46,30.6
4,10.0,12.5,25.0,14.0,17.88,27.7,18.0,23.26,29.2,22.0,28.61,30.0,26.0,33.95,30.6
5,12.5,15.63,25.0,17.5,22.36,27.8,22.5,29.06,29.2,27.5,35.74,30.0,32.5,42.42,30.5
6,15.0,18.75,25.0,21.0,26.83,27.8,27.0,34.88,29.2,33.0,42.87,29.9,39.0,50.94,30.6
7,17.5,21.87,25.0,24.5,31.3,27.8,31.5,40.68,29.1,38.5,50.06,30.0,45.5,59.43,30.6
8,20.0,25.0,25.0,28.0,35.79,27.8,36.0,46.5,29.2,44.0,57.15,29.9,52.0,67.91,30.6
9,22.5,28.12,25.0,31.5,40.26,27.8,40.5,52.32,29.2,49.5,64.36,30.0,58.5,76.41,30.6
10,25.0,31.26,25.0,35.0,44.74,27.8,45.0,58.15,29.2,55.0,71.49,30.0,65.0,84.87,30.6
11,27.5,34.38,25.0,38.5,49.16,27.7,49.5,63.94,29.2,60.5,78.64,30.0,71.5,93.41,30.6
12,30.0,37.51,25.0,42.0,53.66,27.8,54.0,69.74,29.1,66.0,85.81,30.0,78.0,101.85,30.6
13,32.5,40.62,25.0,45.5,58.15,27.8,58.5,75.55,29.1,71.5,92.96,30.0,84.5,110.32,30.6
14,35.0,43.73,24.9,49.0,62.65,27.9,63.0,81.38,29.2,77.0,100.13,30.0,91.0,118.76,30.5
15,37.5,46.88,25.0,52.5,67.11,27.8,67.5,87.17,29.1,82.5,107.18,29.9,97.5,127.26,30.5
16,40.0,50.01,25.0,56.0,71.55,27.8,72.0,92.95,29.1,88.0,114.43,30.0,104.0,135.79,30.6
17,42.5,53.13,25.0,59.5,76.02,27.8,76.5,98.8,29.2,93.5,121.55,30.0,110.5,144.32,30.6
18,45.0,56.23,25.0,63.0,80.48,27.7,81.0,104.68,29.2,99.0,128.79,30.1,117.0,152.77,30.6
19,47.5,59.38,25.0,66.5,84.94,27.7,85.5,110.42,29.1,104.5,135.89,30.0,123.5,161.22,30.5
20,50.0,62.52,25.0,70.0,89.44,27.8,90.0,116.27,29.2,110.0,142.98,30.0,130.0,169.78,30.6
21,52.5,65.63,25.0,73.5,93.94,27.8,94.5,122.09,29.2,115.5,150.14,30.0,136.5,178.09,30.5
22,55.0,68.8,25.1,77.0,98.37,27.8,99.0,127.9,29.2,121.0,157.22,29.9,143.0,186.57,30.5
23,57.5,71.87,25.0,80.5,102.92,27.9,103.5,133.68,29.2,126.5,164.43,30.0,149.5,195.14,30.5
24,60.0,75.0,25.0,84.0,107.33,27.8,108.0,139.56,29.2,132.0,171.6,30.0,156.0,203.64,30.5
25,62.5,78.09,24.9,87.5,111.87,27.9,112.5,145.39,29.2,137.5,178.71,30.0,162.5,212.19,30.6
26,65.0,81.23,25.0,91.0,116.27,27.8,117.0,151.11,29.2,143.0,185.89,30.0,169.0,220.63,30.6
27,67.5,84.4,25.0,94.5,120.69,27.7,121.5,156.95,29.2,148.5,193.11,30.0,175.5,229.1,30.5
28,70.0,87.52,25.0,98.0,125.17,27.7,126.0,162.73,29.2,154.0,200.27,30.0,182.0,237.52,30.5
29,72.5,90.62,25.0,101.5,129.77,27.9,130.5,168.6,29.2,159.5,207.37,30.0,188.5,246.0,30.5
30,75.0,93.76,25.0,105.0,134.14,27.8,135.0,174.32,29.1,165.0,214.41,29.9,195.0,254.43,30.5
